[run number],number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
734,100,10,1,1,67,100,100,56
731,100,10,1,1,61,100,100,65
738,100,10,1,1,75,100,100,42
735,100,10,1,1,69,100,100,58
740,100,10,1,1,79,100,100,45
739,100,10,1,1,77,100,100,57
736,100,10,1,1,71,100,100,67
743,100,10,1,1,85,100,100,47
742,100,10,1,1,83,100,100,52
741,100,10,1,1,81,100,100,60
745,100,10,1,1,89,100,100,44
744,100,10,1,1,87,100,100,49
746,100,10,1,1,91,100,100,50
749,100,10,1,1,97,100,100,37
750,100,10,1,1,99,100,100,47
747,100,10,1,1,93,100,100,53
748,100,10,1,1,95,100,100,54
756,100,10,1,1,11,100,20,187
701,100,10,1,1,1,100,100,478
760,100,10,1,1,19,100,20,187
759,100,10,1,1,17,100,20,236
