,number-of-tasks,vicinity-radius,self-conscious-coeff,dependence-exponent,number-of-people,initial-patience,willingness-to-help,[step]
311,100.0,10.0,1.0,1.0,89.0,100.0,50.0,79.39
312,100.0,10.0,0.6,1.0,89.0,100.0,50.0,56.69
313,100.0,10.0,1.5999999999999996,1.0,89.0,100.0,50.0,111.79
314,100.0,10.0,2.0,1.0,89.0,100.0,50.0,133.5
315,100.0,10.0,0.3,1.0,91.0,100.0,50.0,39.28
316,100.0,10.0,0.0,1.0,91.0,100.0,50.0,17.6
317,100.0,10.0,1.3000000000000003,1.0,91.0,100.0,50.0,94.72
318,100.0,10.0,1.0,1.0,91.0,100.0,50.0,78.94
319,100.0,10.0,0.6,1.0,91.0,100.0,50.0,57.78
320,100.0,10.0,1.5999999999999996,1.0,91.0,100.0,50.0,111.85
321,100.0,10.0,2.0,1.0,91.0,100.0,50.0,127.74
322,100.0,10.0,0.3,1.0,93.0,100.0,50.0,38.81
323,100.0,10.0,0.0,1.0,93.0,100.0,50.0,17.47
324,100.0,10.0,1.3000000000000003,1.0,93.0,100.0,50.0,95.59
325,100.0,10.0,1.0,1.0,93.0,100.0,50.0,80.65
326,100.0,10.0,0.6,1.0,93.0,100.0,50.0,57.0
327,100.0,10.0,1.5999999999999996,1.0,93.0,100.0,50.0,111.24
328,100.0,10.0,2.0,1.0,93.0,100.0,50.0,129.47
329,100.0,10.0,0.3,1.0,95.0,100.0,50.0,38.14
330,100.0,10.0,0.0,1.0,95.0,100.0,50.0,16.96
331,100.0,10.0,1.3000000000000003,1.0,95.0,100.0,50.0,93.68
332,100.0,10.0,1.0,1.0,95.0,100.0,50.0,79.06
333,100.0,10.0,0.6,1.0,95.0,100.0,50.0,56.07
334,100.0,10.0,1.5999999999999996,1.0,95.0,100.0,50.0,111.16
335,100.0,10.0,2.0,1.0,95.0,100.0,50.0,134.04
336,100.0,10.0,0.3,1.0,97.0,100.0,50.0,38.53
337,100.0,10.0,0.0,1.0,97.0,100.0,50.0,17.03
338,100.0,10.0,1.3000000000000003,1.0,97.0,100.0,50.0,95.05
339,100.0,10.0,1.0,1.0,97.0,100.0,50.0,78.54
340,100.0,10.0,0.6,1.0,97.0,100.0,50.0,56.12
341,100.0,10.0,1.5999999999999996,1.0,97.0,100.0,50.0,109.69
342,100.0,10.0,2.0,1.0,97.0,100.0,50.0,129.75
343,100.0,10.0,0.3,1.0,99.0,100.0,50.0,37.79
344,100.0,10.0,0.0,1.0,99.0,100.0,50.0,16.65
345,100.0,10.0,1.3000000000000003,1.0,99.0,100.0,50.0,94.24
346,100.0,10.0,1.0,1.0,99.0,100.0,50.0,79.05
347,100.0,10.0,0.6,1.0,99.0,100.0,50.0,55.38
348,100.0,10.0,1.5999999999999996,1.0,99.0,100.0,50.0,109.71
349,100.0,10.0,2.0,1.0,99.0,100.0,50.0,129.52
